file,loc,kloc,effort_pm,time_months,cost_usd
cocomo_cal.py,220,0.22,0.4895026604907396,1.9056666345288031,3916.0212839259166
evaluate.py,118,0.118,0.2544997437448841,1.4862819426702796,2035.9979499590727
run_cocomo.py,28,0.028,0.05619881712547658,0.837213716566903,449.59053700381264
test.py,39,0.039,0.07958460756407786,0.9555536125664593,636.6768605126229
backend\app.js,139,0.139,0.3022572884528291,1.5866574886178022,2418.058307622633
backend\index.js,28,0.028,0.05619881712547658,0.837213716566903,449.59053700381264
backend\.adminjs\bundle.js,4,0.004,0.00728407204432665,0.3851609214777815,58.2725763546132
backend\.adminjs\entry.js,1,0.001,0.0016990698825219304,0.22152374280567055,13.592559060175443
backend\src\config\admin.js,0,0.0,0.0,0.0,0.0
backend\src\config\db.js,10,0.01,0.019063877633382752,0.5551627016115971,152.51102106706202
backend\src\config\google.js,10,0.01,0.019063877633382752,0.5551627016115971,152.51102106706202
backend\src\config\redis.js,2,0.002,0.003517974905060489,0.2920997927220064,28.14379924048391
backend\src\config\userOnline.js,40,0.04,0.0817286325619953,0.9652553492218436,653.8290604959625
backend\src\controllers\about.controller.js,9,0.009,0.01706734143167211,0.5323080595702505,136.5387314533769
backend\src\controllers\auth.controller.js,109,0.109,0.23415803478807717,1.4399700298457307,1873.2642783046174
backend\src\controllers\chat.controller.js,75,0.075,0.15813411350226855,1.2404227551130214,1265.0729080181484
backend\src\controllers\dashboard.controller.js,18,0.018,0.03533843985486963,0.7018980082921545,282.70751883895707
backend\src\controllers\queue.controller.js,177,0.177,0.38956790640078853,1.7472764110655858,3116.5432512063085
backend\src\controllers\service.controller.js,9,0.009,0.01706734143167211,0.5323080595702505,136.5387314533769
backend\src\middlewares\auth.middleware.js,45,0.045,0.09248778554745439,1.0117007536595328,739.9022843796351
backend\src\models\About.model.js,19,0.019,0.037402662866672265,0.7172044363929797,299.2213029333781
backend\src\models\Chat.model.js,30,0.03,0.06042109048157283,0.8605808171089848,483.3687238525826
backend\src\models\DashBoard.model.js,45,0.045,0.09248778554745439,1.0117007536595328,739.9022843796351
backend\src\models\queue.model.js,50,0.05,0.10330699911980817,1.0551381169722664,826.4559929584653
backend\src\models\Service.model.js,19,0.019,0.037402662866672265,0.7172044363929797,299.2213029333781
